,model,km,cost
112,2013 Maruti Swift VDI,"45,478kmDiesel1st Owner","₹ 3,29,299"
113,2017 Maruti Dzire VXI,"32,466kmPetrol1st Owner","₹ 5,94,199"
114,2015 Maruti Swift VDI ABS,"63,435kmDiesel1st Owner","₹ 4,15,199"
115,2010 Honda City S MT PETROL,"35,578kmPetrol1st Owner","₹ 3,83,099"
116,2015 Hyundai Creta 1.4 S CRDI,"32,524kmDiesel1st Owner","₹ 7,10,699"
117,2010 Honda City S MT PETROL,"62,808kmPetrol1st Owner","₹ 3,99,799"
118,2013 Maruti Swift VDI,"58,850kmDiesel1st Owner","₹ 3,30,099"
119,2011 Maruti Wagon R 1.0 LXI,"59,276kmPetrol2nd Owner","₹ 2,25,299"
120,2016 Maruti Alto 800 LXI,"36,717kmPetrol1st Owner","₹ 2,82,499"
121,2016 Maruti Vitara Brezza VDI,"33,572kmDiesel1st Owner","₹ 6,93,899"
122,2012 Toyota Etios Liva GD,"61,443kmDiesel1st Owner","₹ 3,04,899"
123,2016 Tata Tiago XM 1.2 REVOTRON,"43,387kmPetrol1st Owner","₹ 3,23,099"
124,2013 Maruti Ertiga VDI ABS,"51,981kmDiesel1st Owner","₹ 4,75,999"
125,2015 Maruti Alto K10 VXI,"49,105kmPetrol1st Owner","₹ 2,63,899"
126,2018 Renault Kwid RXT Opt,"32,716kmPetrol2nd Owner","₹ 2,97,999"
127,2011 Hyundai i10 SPORTZ 1.2 KAPPA2,"53,077kmPetrol1st Owner","₹ 2,65,699"
128,2012 Maruti Swift Dzire VDI BS IV,"79,776kmDiesel1st Owner","₹ 3,36,299"
129,2012 Maruti Swift Dzire VDI BS IV,"68,930kmDiesel1st Owner","₹ 3,02,999"
130,2015 Hyundai Elite i20 MAGNA 1.4 CRDI,"52,659kmDiesel2nd Owner","₹ 4,44,399"
131,2019 Maruti Baleno DELTA 1.2 K12,"14,977kmPetrol1st Owner","₹ 6,53,699"
132,2014 Volkswagen Polo COMFORTLINE 1.5L DIESEL,"60,020kmDiesel1st Owner","₹ 3,54,099"
133,2009 Maruti Alto LXI,"55,752kmPetrol1st Owner","₹ 1,43,799"
134,2020 Renault Kwid RXL,"12,549kmPetrol1st Owner","₹ 3,65,699"
135,2018 Renault Kwid RXL,"32,703kmPetrol1st Owner","₹ 2,75,999"
136,2008 Maruti Swift Dzire VXI 1.3,"58,317kmPetrol2nd Owner","₹ 1,96,499"
137,2013 Hyundai Verna FLUIDIC 1.6 SX CRDI,"73,591kmDiesel1st Owner","₹ 4,25,699"
138,2009 Honda Jazz 1.2 BASE I VTEC,"75,136kmPetrol2nd Owner","₹ 2,08,799"
139,2015 Renault Kwid RXT,"54,227kmPetrol1st Owner","₹ 2,51,199"
140,2013 Maruti Swift VDI,"66,350kmDiesel1st Owner","₹ 3,11,399"
141,2015 Maruti Alto 800 LXI,"50,024kmPetrol1st Owner","₹ 2,66,999"
142,2011 Maruti Ritz VXI BS IV,"76,919kmPetrol1st Owner","₹ 2,42,799"
143,2016 Hyundai Grand i10 1.2 ASTA (O) AT,"48,934kmPetrol1st Owner","₹ 4,43,699"
144,2010 Maruti Alto LXI,"70,239kmPetrol1st Owner","₹ 1,50,499"
145,2011 Hyundai i10 MAGNA 1.1 IRDE2,"66,492kmPetrol1st Owner","₹ 2,57,299"
146,2016 Maruti Vitara Brezza VDI,"29,262kmDiesel1st Owner","₹ 6,47,599"
147,2013 Maruti Swift VDI,"68,546kmDiesel1st Owner","₹ 3,46,899"
148,2015 Maruti Alto K10 VXI,"57,955kmPetrol1st Owner","₹ 2,63,699"
149,2012 Volkswagen Polo COMFORTLINE 1.2L DIESEL,"69,584kmDiesel1st Owner","₹ 3,26,699"
150,2008 Maruti Swift Dzire VXI,"89,412kmPetrol2nd Owner","₹ 1,77,899"
151,2008 Hyundai i10 SPORTZ 1.2,"66,404kmPetrol1st Owner","₹ 1,72,299"
152,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"35,754kmPetrol2nd Owner","₹ 4,50,199"
153,2010 Maruti Swift Dzire VXI,"61,308kmPetrol1st Owner","₹ 2,82,899"
154,2012 Honda City V MT SUNROOF,"68,161kmPetrol1st Owner","₹ 4,53,099"
155,2015 Maruti Swift VDI ABS,"61,216kmDiesel2nd Owner","₹ 4,10,499"
156,2009 Maruti A Star VXI,"62,155kmPetrol1st Owner","₹ 1,64,799"
157,2015 Hyundai Elite i20 ASTA 1.2,"55,683kmPetrol1st Owner","₹ 5,48,199"
158,2018 Honda Jazz 1.2 V AT,"20,232kmPetrol1st Owner","₹ 5,97,799"
159,2015 Toyota Innova 2.5 GX 8 STR BS IV,"45,613kmDiesel1st Owner","₹ 8,34,499"
160,2012 Maruti Swift Dzire VDI BS IV,"94,644kmDiesel1st Owner","₹ 3,07,199"
161,2018 Maruti Baleno DELTA 1.2 K12,"28,821kmPetrol1st Owner","₹ 5,20,399"
162,2014 Renault Duster 85 PS RXL,"67,522kmDiesel2nd Owner","₹ 3,71,399"
163,2016 Hyundai Elite i20 1.4 CRDI ASTA (O),"44,364kmDiesel2nd Owner","₹ 5,46,199"
164,2017 Maruti Alto 800 LXI,"65,151kmPetrol1st Owner","₹ 2,87,399"
165,2012 Ford Fiesta TITANIUM DIESEL,"68,356kmDiesel2nd Owner","₹ 3,02,499"
166,2013 Maruti Swift VDI,"63,561kmDiesel1st Owner","₹ 3,50,599"
167,2012 Maruti Swift LXI,"67,752kmPetrol2nd Owner","₹ 3,11,899"
168,2011 Hyundai i10 MAGNA 1.2 KAPPA2,"73,012kmPetrol2nd Owner","₹ 2,41,599"
169,2015 Hyundai Elite i20 ASTA 1.2,"59,466kmPetrol1st Owner","₹ 5,05,899"
170,2008 Maruti SX4 VXI,"68,597kmPetrol2nd Owner","₹ 1,76,999"
171,2013 Maruti Swift Dzire VDI BS IV,"63,949kmDiesel1st Owner","₹ 3,49,399"
172,2014 Maruti Ritz ZXI,"58,664kmPetrol1st Owner","₹ 3,26,499"
173,2015 Maruti Swift VDI ABS,"59,849kmDiesel1st Owner","₹ 4,25,399"
174,2009 Maruti Ritz VXI,"62,936kmPetrol1st Owner","₹ 2,39,799"
175,2008 Maruti Swift LXI 1.3,"86,350kmPetrol1st Owner","₹ 1,89,999"
176,2018 Maruti Ciaz DELTA 1.4 VVT AT,"20,258kmPetrol1st Owner","₹ 7,63,699"
177,2016 Maruti Celerio ZXI,"72,059kmPetrol1st Owner","₹ 3,52,499"
178,2015 Honda Amaze 1.2 SMT I VTEC,"62,045kmPetrol1st Owner","₹ 4,38,599"
179,2014 Toyota Etios Liva D-4D VXD,"59,700kmDiesel2nd Owner","₹ 3,74,799"
180,2013 Maruti Swift Dzire VDI BS IV,"62,602kmDiesel1st Owner","₹ 3,46,199"
181,2015 Mahindra Scorpio S10,"70,049kmDiesel1st Owner","₹ 8,73,299"
182,2011 Honda CRV 2.4 AT,"71,014kmPetrol2nd Owner","₹ 5,17,499"
183,2008 Maruti Alto LXI,"58,267kmPetrol1st Owner","₹ 1,09,699"
184,2014 Maruti Swift VDI,"64,031kmDiesel1st Owner","₹ 4,03,899"
185,2010 Maruti Zen Estilo LXI,"66,275kmPetrol2nd Owner","₹ 1,79,099"
186,2011 Hyundai i10 MAGNA 1.2 KAPPA2,"85,761kmPetrol1st Owner","₹ 2,04,499"
187,2008 Maruti Swift LXI 1.3,"61,909kmPetrol1st Owner","₹ 1,96,299"
188,2012 Maruti Swift ZDI,"80,936kmDiesel1st Owner","₹ 3,09,499"
189,2018 Mahindra Scorpio S11,"85,283kmDiesel2nd Owner","₹ 12,96,499"
190,2013 Toyota Innova 2.5 GX 7 STR BS IV,"69,047kmDiesel1st Owner","₹ 6,26,399"
191,2013 Honda Amaze 1.5 EXMT I DTEC,"72,461kmDiesel1st Owner","₹ 2,86,599"
192,2019 Maruti Ertiga ZXI SMART HYBRID AT,"22,448kmPetrol1st Owner","₹ 9,06,399"
193,2017 Maruti Alto 800 LXI,"41,185kmPetrol1st Owner","₹ 2,89,099"
194,2008 Honda Accord 2.4 MT,"56,382kmPetrol2nd Owner","₹ 2,88,499"
195,2014 Maruti Ritz ZXI ABS,"61,249kmPetrol1st Owner","₹ 3,10,599"
196,2015 Hyundai Verna FLUIDIC 1.6 VTVT S,"54,018kmPetrol4th Owner","₹ 5,05,199"
197,2013 Maruti Swift Dzire ZDI,"67,598kmDiesel2nd Owner","₹ 3,96,099"
198,2019 Maruti Baleno ALPHA 1.2 K12 AMT,"12,745kmPetrol2nd Owner","₹ 7,45,899"
199,2013 Maruti Alto K10 VXI,"63,758kmPetrol3rd Owner","₹ 2,21,599"
200,2012 Hyundai i20 SPORTZ 1.4 CRDI,"85,411kmDiesel2nd Owner","₹ 2,59,799"
201,2012 Maruti Swift ZXI,"70,522kmPetrol1st Owner","₹ 3,99,599"
202,2014 Maruti Swift ZDI,"72,636kmDiesel1st Owner","₹ 4,28,799"
203,2013 Maruti Ritz VDI,"66,549kmDiesel1st Owner","₹ 3,00,499"
204,2015 Maruti Swift ZXI,"67,696kmPetrol1st Owner","₹ 3,81,399"
205,2014 Ford Ecosport 1.5 AMBIENTE TDCI,"59,818kmDiesel1st Owner","₹ 4,22,099"
206,2008 Hyundai i10 MAGNA 1.2,"69,701kmPetrol1st Owner","₹ 1,64,599"
207,2015 Maruti Swift VDI ABS,"63,642kmDiesel1st Owner","₹ 3,93,099"
208,2010 Honda Jazz 1.2 BASE I VTEC,"69,305kmPetrol1st Owner","₹ 3,18,499"
209,2013 Toyota Etios GD,"93,938kmDiesel2nd Owner","₹ 2,89,199"
210,2013 Maruti Swift Dzire VDI,"90,775kmDiesel1st Owner","₹ 3,54,999"
211,2014 Maruti Swift LXI,"61,924kmPetrol1st Owner","₹ 4,20,799"
212,2016 Maruti Vitara Brezza ZDI,"42,210kmDiesel2nd Owner","₹ 6,31,299"
213,2018 Maruti Wagon R 1.0 LXI,"69,958kmPetrol1st Owner","₹ 3,66,099"
214,2013 Hyundai Grand i10 SPORTZ 1.1 CRDI,"64,179kmDiesel1st Owner","₹ 2,83,299"
215,2015 Hyundai Grand i10 ASTA 1.2 AT VTVT,"69,588kmPetrol1st Owner","₹ 4,16,199"
216,2009 Maruti A Star VXI,"81,050kmPetrol2nd Owner","₹ 1,62,999"
217,2013 Toyota Etios Liva D 4D GD,"65,986kmDiesel1st Owner","₹ 3,14,299"
218,2014 Hyundai Eon ERA PLUS,"60,255kmPetrol1st Owner","₹ 2,53,599"
219,2013 Maruti Ritz VDI,"70,687kmDiesel1st Owner","₹ 2,78,899"
220,2013 Maruti Swift Dzire VDI,"69,373kmDiesel1st Owner","₹ 3,40,999"
221,2013 Maruti Swift VDI,"70,684kmDiesel1st Owner","₹ 3,34,999"
222,2010 Maruti SX4 ZXI,"64,018kmPetrol2nd Owner","₹ 2,48,599"
223,2016 Maruti Swift LXI OPT,"75,973kmPetrol1st Owner","₹ 3,65,099"
224,2012 Hyundai i20 SPORTZ 1.4 CRDI,"97,289kmDiesel2nd Owner","₹ 2,69,999"
225,2013 Hyundai i20 SPORTZ 1.4 CRDI,"69,046kmDiesel1st Owner","₹ 3,69,599"
226,2018 Honda City VX MT PETROL,"36,413kmPetrol2nd Owner","₹ 8,58,399"
227,2015 Maruti Ritz VDI,"64,475kmDiesel1st Owner","₹ 2,94,699"
228,2016 Mahindra Kuv100 K8 D 5 STR,"62,601kmDiesel1st Owner","₹ 3,27,699"
229,2012 Maruti Swift Dzire VDI BS IV,"77,954kmDiesel2nd Owner","₹ 2,93,899"
230,2013 Maruti Ritz VDI,"76,553kmDiesel1st Owner","₹ 2,73,599"
231,2016 Ford Ecosport 1.5 TITANIUM TI VCT,"53,896kmPetrol1st Owner","₹ 6,01,599"
232,2013 Maruti Swift Dzire ZDI,"69,000kmDiesel1st Owner","₹ 4,44,699"
233,2016 Hyundai Grand i10 SPORTS 1.2 VTVT,"54,578kmPetrol + CNG","₹ 3,66,699"
234,2013 Renault Duster 85 PS RXL OPT,"76,169kmDiesel1st Owner","₹ 4,05,299"
235,2018 Maruti Wagon R 1.0 VXI,"37,274kmPetrol1st Owner","₹ 4,03,499"
236,2012 Maruti Swift Dzire VDI BS IV,"80,671kmDiesel1st Owner","₹ 3,29,599"
237,2014 Maruti Swift VDI,"82,346kmDiesel1st Owner","₹ 3,52,399"
238,2015 Maruti Swift VDI ABS,"66,476kmDiesel1st Owner","₹ 4,06,099"
239,2016 Renault Kwid RXT,"52,417kmPetrol2nd Owner","₹ 2,12,099"
240,2011 Maruti Swift VXI,"78,545kmPetrol1st Owner","₹ 3,23,499"
241,2011 Honda City S MT PETROL,"86,581kmPetrol2nd Owner","₹ 3,21,899"
242,2008 Maruti Swift Dzire VXI,"1,23,467kmPetrol + CNG","₹ 2,02,199"
243,2012 Maruti Swift Dzire ZDI,"79,396kmDiesel1st Owner","₹ 3,58,799"
244,2019 Maruti Ertiga VXI SMART HYBRID,"12,685kmPetrol1st Owner","₹ 8,28,799"
245,2012 Maruti Swift VDI,"76,353kmDiesel1st Owner","₹ 3,08,299"
246,2015 Maruti Swift Dzire VDI BS IV,"69,039kmDiesel1st Owner","₹ 4,25,099"
247,2012 Maruti Swift Dzire VDI BS IV,"81,549kmDiesel1st Owner","₹ 3,67,999"
248,2019 Maruti Vitara Brezza VDI,"24,974kmDiesel1st Owner","₹ 8,12,599"
249,2018 Toyota Fortuner 2.8 4x2 AT,"36,813kmDiesel1st Owner","₹ 28,79,999"
250,2016 Maruti Vitara Brezza ZDI,"58,078kmDiesel1st Owner","₹ 6,30,899"
251,2009 Honda City 1.5 E MT PETROL,"96,417kmPetrol1st Owner","₹ 2,43,199"
252,2015 Maruti Swift VDI,"86,567kmDiesel1st Owner","₹ 3,63,699"
253,2012 Hyundai Verna FLUIDIC 1.6 SX CRDI OPT,"89,586kmDiesel1st Owner","₹ 4,15,499"
254,2012 Hyundai i20 SPORTZ 1.4 CRDI,"79,907kmDiesel2nd Owner","₹ 2,78,499"
255,2015 Maruti Swift VDI ABS,"70,952kmDiesel1st Owner","₹ 4,09,999"
256,2016 Maruti Vitara Brezza ZDI,"54,460kmDiesel1st Owner","₹ 7,06,199"
257,2015 Maruti Alto 800 LXI,"61,907kmPetrol1st Owner","₹ 2,31,799"
258,2014 Mahindra Scorpio S10,"24,847kmDiesel1st Owner","₹ 8,23,199"
259,2014 Maruti Swift VDI,"70,681kmDiesel2nd Owner","₹ 3,37,099"
260,2020 Hyundai Creta S CRDI,"27,629kmDiesel1st Owner","₹ 14,34,799"
261,2016 Maruti Eeco 5 STR WITH AC PLUS HTR,"75,552kmPetrol + CNG","₹ 2,77,499"
262,2018 Maruti Vitara Brezza ZDI,"40,249kmDiesel1st Owner","₹ 7,24,799"
263,2010 Honda City S MT PETROL,"86,479kmPetrol3rd Owner","₹ 2,91,199"
264,2010 Hyundai i10 MAGNA 1.2 KAPPA2,"87,770kmPetrol1st Owner","₹ 1,95,799"
265,2008 Hyundai Santro Xing GLS,"96,247kmPetrol1st Owner","₹ 1,34,999"
266,2017 Maruti Swift VXI,"58,074kmPetrol1st Owner","₹ 5,46,399"
267,2011 Maruti Alto K10 LXI,"80,346kmPetrol1st Owner","₹ 2,07,499"
268,2017 Toyota Innova Crysta Touring Sport Diesel MT,"51,238kmDiesel1st Owner","₹ 17,07,199"
269,2012 Maruti Ertiga ZDI,"81,227kmDiesel2nd Owner","₹ 3,72,499"
270,2012 Toyota Etios Liva GD SP,"94,755kmDiesel1st Owner","₹ 2,71,999"
271,2012 Maruti Swift VDI,"84,213kmDiesel1st Owner","₹ 3,17,399"
272,2019 Maruti Vitara Brezza VDI,"13,589kmDiesel1st Owner","₹ 8,16,099"
273,2012 Maruti Swift ZDI,"79,122kmDiesel2nd Owner","₹ 3,60,299"
274,2012 Maruti Ritz VDI,"80,575kmDiesel2nd Owner","₹ 2,28,399"
275,2015 Mahindra TUV300 T8 AT,"71,692kmDiesel2nd Owner","₹ 5,53,499"
276,2012 Maruti Swift VDI,"82,585kmDiesel1st Owner","₹ 3,02,799"
277,2012 Maruti Swift VDI,"80,682kmDiesel1st Owner","₹ 3,04,899"
278,2015 Hyundai Elite i20 MAGNA 1.4 CRDI,"78,343kmDiesel1st Owner","₹ 4,38,699"
279,2012 Maruti Swift ZDI,"84,352kmDiesel1st Owner","₹ 3,20,299"
280,2013 Maruti Swift LDI BS IV,"75,493kmDiesel1st Owner","₹ 3,01,499"
281,2013 Maruti Swift VDI,"74,429kmDiesel2nd Owner","₹ 3,13,099"
282,2008 Maruti Alto LXI,"83,258kmPetrol1st Owner","₹ 1,34,599"
283,2014 Maruti Swift Dzire VDI BS IV,"79,282kmDiesel1st Owner","₹ 3,87,999"
284,2019 Ford Ecosport 1.5TITANIUM TDCI,"11,563kmDiesel2nd Owner","₹ 8,47,199"
285,2013 Ssangyong Rexton RX7,"75,753kmDiesel1st Owner","₹ 6,00,899"
286,2013 Maruti Swift Dzire LDI BS IV,"72,772kmDiesel1st Owner","₹ 2,82,499"
