,model,location,km,cost
403,GET12% RETURNS ON SHOWROOM-SHOP-FLAT-PLOT-2BHK-3BHK-4BHK 2-3-4-BHK-CAR,"HARDEV NAGAR, DELHI","2017 - 56,000 km","₹ 39,90,000"
404,GET12% RETURNS ON SHOWROOM-SHOP-FLAT-PLOT-2BHK-3BHK-4BHK 2-3-4-BHK-CAR,"OKHLA, DELHI","2017 - 30,000 km","₹ 40,00,000"
405,GET12% RETURNS ON SHOWROOM-SHOP-FLAT-PLOT-2BHK-3BHK-4BHK 2-3-4-BHK-CAR,"PATIALA ROAD, ZIRAKPUR","2016 - 42,315 km","₹ 59,00,000"
406,GET12% RETURNS ON SHOWROOM-SHOP-FLAT-PLOT-2BHK-3BHK-4BHK 2-3-4-BHK-CAR,"INDUSTRIAL AREA PHASE 7, MOHALI","2013 - 140,852 km","₹ 40,00,000"
407,GET12% RETURNS ON SHOWROOM-SHOP-FLAT-PLOT-2BHK-3BHK-4BHK 2-3-4-BHK-CAR,"SECTOR 82, MOHALI","2014 - 61,000 km","₹ 59,90,000"
408,GET12% RETURNS ON SHOWROOM-SHOP-FLAT-PLOT-2BHK-3BHK-4BHK 2-3-4-BHK-CAR,"AIRPORT ROAD, MOHALI","2016 - 55,000 km","₹ 2,20,000"
409,"Maruti Suzuki Wagon R VXI, 2010, Petrol","AMBALA CHANDIGARH EXPRESSWAY, ZIRAKPUR","2016 - 47,000 km","₹ 6,40,000"
410,"Hyundai Grand i10 1.2 CRDi Sportz, 2019, Diesel","PATIALA ROAD, ZIRAKPUR","2014 - 58,000 km","₹ 15,50,000"
411,"Mercedes-Benz B Class 2012-2015 B180 Sports, 2013, Petrol","AIRPORT ROAD, MOHALI","2016 - 81,046 km","₹ 1,00,000"
412,"Maruti Suzuki Zen Estilo LXI, 2007, Petrol","MELECHOWA SOUTH, KANNUR","2019 - 21,000 km","₹ 5,00,000"
413,"Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV, 2012, Diesel","SANTACRUZ WEST, MUMBAI","2017 - 61,890 km","₹ 2,60,000"
414,"Honda City 1.5 S Manual, 2009, Petrol","NARANPURA, AHMEDABAD","2018 - 72,000 km","₹ 2,25,000"
415,"Toyota Etios Liva G, 2011, Petrol","JHANDEWALAN, DELHI","2000 - 999,999 km","₹ 4,50,000"
416,"Honda Amaze 1.5 SX i-DTEC, 2017, Diesel","JHANDEWALAN, DELHI","2012.0 - 111,000 km","₹ 5,45,000"
417,"Maruti Suzuki Swift VXI, 2016, Petrol","JHANDEWALAN, DELHI","2014 - 14,000 km","₹ 5,65,000"
418,"Hyundai Fluidic Verna 1.6 CRDi SX, 2013, Diesel","JHANDEWALAN, DELHI","2017 - 50,000 km","₹ 4,99,000"
419,"Hyundai Grand i10 1.2 Kappa Asta, 2015, CNG & Hybrids","JHANDEWALAN, DELHI","2010 - 52,000 km","₹ 4,59,000"
420,Honda City 2015 Diesel,"MADURAI RAILWAY STATION AREA, MADURAI","2008 - 132,000 km","₹ 24,00,000"
421,Ford Endeavour 2016 Diesel,"BILEKAHALLI, BENGALURU","2017 - 39,760 km","₹ 5,25,000"
422,"Maruti Suzuki Swift Dzire Tour LDI, 2018, Diesel","SECTOR 23, GANDHINAGAR","2013 - 69,000 km","₹ 6,20,000"
423,"Nissan Terrano XL (D), 2015, Diesel","PITAMPURA, DELHI","2018 - 59,000 km","₹ 7,50,000"
424,"Volkswagen Polo 1.5 TDI Highline Plus, 2018, Diesel","GOVERNMENT COLONY, LATUR","2014 - 77,000 km","₹ 14,75,000"
425,"Honda City ZX CVT, 2021, Petrol","HOPE COLLEGE, COIMBATORE","2005 - 120,000 km","₹ 2,90,000"
426,"Volkswagen Vento 1.5 TDI Comfortline, 2011, Petrol","PAYYANAD, MANJERI","2015 - 90,000 km","₹ 7,89,000"
427,Modify Vintage Wedding Car,"AYATHIL, KOLLAM","2017 - 56,000 km","₹ 5,25,000"
428,"Maruti Suzuki Swift Dzire LDI, 2017, Diesel","BARODA DAIRY CHOWK, VADODARA","2017 - 30,000 km","₹ 3,21,000"
429,"Maruti Suzuki Eeco 5 STR With AC Plus HTR CNG, 2017, CNG &amp; Hybrids","PUSA ROAD AREA, DELHI","2016 - 42,315 km","₹ 2,75,000"
430,"Hyundai EON Era, 2016, Petrol","INDRA COLONY, PANTNAGAR","2013 - 140,852 km","₹ 14,50,000"
431,"Toyota Fortuner 3.0 Limited Edition, 2013, Diesel","DLF CITY, GURGAON","2014 - 61,000 km","₹ 4,25,000"
432,"Renault Duster 2012-2015 85PS Diesel RxL Optional, 2014, Diesel","PREET VIHAR, DELHI","2016 - 55,000 km","₹ 16,95,000"
433,"Toyota Innova Crysta 2.8 ZX AT, 2016, Diesel","RAJENDRA NAGAR, JAIPUR","2016 - 47,000 km","₹ 3,49,000"
434,"Renault KWID RXT, 2016, Petrol","RAJENDRA NAGAR, JAIPUR","2014 - 58,000 km","₹ 3,75,000"
435,"Maruti Suzuki Wagon R LXI, 2014, Petrol","HAZRATGANJ, LUCKNOW","2019 - 35,042 km","₹ 7,65,000"
436,Wedding vintage car,"MG ROAD, GURGAON","2017 - 88,000 km","₹ 5,95,000"
437,"Honda Jazz V Diesel, 2016, Diesel","RAM NAGAR, MADURAI","2018 - 51,000 km","₹ 3,45,000"
438,"Maruti Suzuki Alto 800 LXI, 2019, Petrol","KASARVADAVLI, THANE","2012 - 106,000 km","₹ 6,83,600"
439,"Hyundai Elite i20 Sportz 1.4, 2017, Diesel","DOGRA MOHALLA, SULTANPUR","2015 - 80,000 km","₹ 3,70,000"
440,Maruti Suzuki Eeco 2018 CNG &amp;amp; Hybrids,"T NAGAR, CHENNAI","2012.0 - 111,000 km","₹ 1,25,000"
441,Toyota Qualis 2000 Diesel,"PURVI PATEL NAGAR, DEHRADUN","2014 - 14,000 km","₹ 7,45,000"
442,Wedding vintage car,"LBS MARG-MULUND, MUMBAI","2017 - 50,000 km","₹ 7,60,000"
443,Wedding vintage car,"BEGAMPUR, DELHI","2010 - 52,000 km","₹ 7,15,000"
444,Vintage wedding car,"SAAT RASTA ROAD, ELEPHANTA CAVES","2008 - 132,000 km","₹ 7,25,000"
445,Wedding vintage car,"LAL CHOWK, BOKARO THERMAL TOWNSHIP","2017 - 39,760 km","₹ 7,25,000"
446,Wedding vintage car,"AYODHYA NAGAR, BERHMAPUR","2015 - 77,170 km","₹ 7,25,000"
447,Wedding vintage car,"AGRAWAL COLONY, AJMER","2014 - 43,000 km","₹ 7,25,000"
448,Wedding vintage car,"CHANOD COLONY, CHANOD","2014 - 58,000 km","₹ 7,14,000"
449,Wedding vintage car,"BHATTA DEV NAGAR, PATHSALA","2020 - 13,000 km","₹ 7,15,000"
450,Wedding vintage car,"GULISTAN COLONY, FATEHGARH","2014 - 72,000 km","₹ 15,00,000"
