,model,location,km,cost
117,"Maruti Suzuki Wagon R 1.0 LXi CNG, 2009, CNG &amp; Hybrids","MALABAR HILL, MUMBAI","2020 - 37,000 km","₹ 1,80,000"
118,Hyundai i10 2008 Petrol Good Condition,"LOHA MANDI, DELHI",3 Bds - 2 Ba - 990 ft2,"₹ 1,75,000"
119,Fiat Palio Stile 2008 Petrol Well Maintained new tries seelied engine,"BANDA, UTTAR PRADESH","2010 - 55,250 km","₹ 1,85,000"
120,"Mahindra Scorpio 1.99 S4 Plus, 2004, Diesel","ASHRAM ROAD, AHMEDABAD",1999 - 0 km,"₹ 4,79,000"
121,"Nissan Terrano, 2014, Diesel","MA PO SI NAGAR, THIRUVALLUR","2011 - 33,344 km","₹ 3,10,000"
122,Maruti Suzuki SX4 2011 Diesel 86500 Km Driven,"KAGGADASAPURA, BENGALURU","2011 - 106,503 km","₹ 9,85,000"
123,"Maruti Suzuki Vitara Brezza VDi Option, 2020, Diesel","KOYAMBEDU, CHENNAI","2003 - 55,000 km","₹ 60,00,000"
124,3BHK With Car Parking &amp; Lift,"KANJURMARG WEST, MUMBAI","2014 - 78,000 km","₹ 1,60,000"
125,Maruti Suzuki A-Star Petrol Well Maintained,"JEERA, SECUNDERABAD","2016 - 108,000 km","₹ 40,000"
126,Maruti Suzuki Zen 1999 Petrol 0 Km Driven,"ABIDS, HYDERABAD","2017 - 86,900 km","₹ 2,30,000"
127,Hyundai i10 2011 Petrol Well Maintained,"DWARKA MOR, DELHI","2016 - 28,892 km","₹ 2,00,000"
128,"Hyundai i20 1.4 Sportz, 2011, Diesel","ASHWINI NAGAR, RAIPUR","2016 - 52,300 km","₹ 96,000"
129,Maruti 800 Car,"DULADI, PATIALA","2012 - 140,000 km","₹ 5,20,000"
130,Maruti Suzuki Swift 2014,"CHAKEISAINI, BHUBANESHWAR",4 Bds - 3 Ba - 1026 ft2,"₹ 9,00,000"
131,"Hyundai Creta 1.6 SX Automatic Diesel, 2016, Diesel","SECTOR 21, KAITHAL","2006 - 100,000 km","₹ 4,75,000"
132,"Toyota Etios GD SP*, 2017, Diesel","KRISHNA NAGAR, HOSAPETE","2012 - 60,000 km","₹ 4,24,000"
133,"Maruti Suzuki Swift VXI, 2016, Petrol","BARADARI, JALANDHAR","2018 - 59,000 km","₹ 7,50,000"
134,Honda City 2016 Well Maintained,"VALASARAVAKKAM JANAKI NAGAR, CHENNAI","2006 - 96,000 km","₹ 2,75,000"
135,Toyota Etios 2012 Diesel,"SACHIDANANDA NAGAR, BENGALURU","2016 - 71,000 km","₹ 2,000"
136,Car Audio disc tep,"RAJARHAT, KOLKATA","2016 - 53,000 km","₹ 55,00,000"
137,4BHK With Car Parking &amp; Lift,"THIRUMUDIVAKKAM, CHENNAI","2015 - 92,000 km","₹ 90,000"
138,Maruti Suzuki Swift 2006,"NOBLE ENCLAVE, GURGAON","2010 - 81,100 km","₹ 1,85,000"
139,Maruti Suzuki Alto 2012 CNG &amp; Hybrids 60000 Km Driven,"CHINCHWAD KAKDE TOWNSHIP, PUNE","2007 - 40,384 km","₹ 7,40,000"
140,"Mahindra Bolero Camper, 2018, Diesel","UTTAM NAGAR, DELHI","2006 - 49,000 km","₹ 1,80,000"
141,Complete service done good condition,"EAKDARA, MURUD","2015 - 61,000 km","₹ 10,55,000"
142,"Hyundai Creta 1.6 CRDi SX Plus, 2016, Diesel","2 NTWB, SANGARIA","2007 - 85,000 km","₹ 7,00,000"
143,Hyundai Elite i20 2016 Diesel Good Condition,"THANKALAM, KOTHAMANGALAM","2015 - 49,000 km","₹ 4,20,000"
144,"Maruti Suzuki Ritz VDi, 2015, Diesel","MOGHALRAJPURAM, VIJAYAWADA","2011 - 80,000 km","₹ 1,46,500"
145,Ford Figo 2010 Diesel 81100 Km Driven,"PALAT NAGAR, KOZHIKODE","2017 - 80,000 km","₹ 2,10,000"
146,Maruti Suzuki Swift 2007 Petrol,"NANDIPALLI, KAKINADA","2010 - 63,000 km","₹ 90,000"
147,Maruti Suzuki Wagon R 1.0 2006 Petrol 49000 Km Driven,"GAJUWAKA, VISAKHAPATNAM","2012 - 200,000 km","₹ 4,75,000"
148,Volkswagen Polo 2015 Diesel Good Condition,"MADANPURA, VARANASI","2014 - 140,000 km","₹ 1,45,000"
149,"Maruti Suzuki Alto LX, 2007, Petrol","GURU KI NAGARI, BATHINDA",2021 - 0 km,"₹ 6,45,000"
150,"Maruti Suzuki Ciaz 2014-2017 VDi, 2015, Diesel","TDI CITY, MORADABAD","2004 - 38,000 km","₹ 18,75,000"
151,"Mercedes-Benz S-Class S 350 CDI, 2011, Diesel","NEAR RAJIV GANDHI SALAI, AMBUR","2017 - 39,000 km","₹ 4,95,000"
152,"Hyundai Xcent 1.2 VTVT S, 2017, Petrol","ELLIS NAGAR, MADURAI","2016 - 9,000 km","₹ 2,98,000"
153,"Hyundai i20 Magna Plus, 2010, Petrol","EDAPALLY, KOCHI","2011 - 140,000 km","₹ 4,50,000"
154,Toyota Innova 2012 Diesel,"NARANPURA, AHMEDABAD","2017 - 80,000 km","₹ 9,50,000"
155,Toyota Innova 2014 Diesel,"UMIYA CHOWK, RAJKOT","2003 - 60,000 km","₹ 40,000"
156,Renault Triber New car will give for rent to gov office or pvt office,"LAL BAHADUR NAGAR, LB NAGAR","2020 - 2,200 km","₹ 45,000"
157,Training car.. seekhne waalon ke Kiye best car,"NAJAFGARH, DELHI","2009 - 79,000 km","₹ 3,40,000"
158,"Mahindra KUV 100 2016-2017 mFALCON D75 K6, 2017, Petrol","VASAI ROAD, MUMBAI","2011 - 87,000 km","₹ 1,25,000"
159,"Other Brands Others, 2016, Petrol","SYAMALA NAGAR, GUNTUR","2007 - 100,000 km","₹ 4,20,000"
160,Toyota Corolla 2011 Diesel 140000 Km Driven,"HGF CHAURAHA, SHAHGANJ","2016 - 85,000 km","₹ 5,30,000"
161,Maruti Suzuki Swift 2017 Diesel 80000 Km Driven,"BELTOLA, GUWAHATI","2016 - 95,000 km","₹ 60,000"
162,Maruti Suzuki 800 2003 Petrol 60000 Km Driven,"BHALUKA, KRISHNANAGAR",3 Bds - 2 Ba - 720 ft2,"₹ 11,50,000"
163,"Skoda Rapid Others, 2020, Petrol","NILAMBUR, KERALA","2014 - 74,000 km","₹ 2,90,000"
164,"Honda Accord 2.4 Manual, 2009, Petrol","LOKHAI, LEHRAGAGA","2018 - 32,526 km","₹ 8,75,000"
165,"Toyota Innova 2.5 V 7 STR, 2011, Diesel","JSPL TOWN, JSPL TOWN ANUGUL TOWNSHIP","2015 - 62,303 km","₹ 4,10,000"
166,Toyota Innova 2007 model,"ADAJAN PATIA, SURAT","2014 - 80,000 km","₹ 6,00,000"
167,Maruti Suzuki Swift Dzire 2016 Diesel Well Maintained,"TAGORE GARDEN, DELHI","2018 - 11,400 km","₹ 25,50,000"
168,"BMW X1 xDrive 20d M Sport, 2016, Diesel","KODAMBAKKAM TRUSTPURAM, CHENNAI","2006 - 120,000 km","₹ 35,00,000"
169,3BHK With Car Parking,"RATALI, NIPANI","2012 - 114,000 km","₹ 5,00,000"
170,Honda Mobilio 2014 Diesel Well Maintained,"MANNARKAD 2, MANNARKAD I","2015 - 45,200 km","₹ 4,86,245"
171,"Hyundai i10 1.2 Kappa SPORTZ, 2018, Petrol","ADAJAN PATIA, SURAT","2016 - 86,000 km","₹ 5,17,000"
172,"Maruti Suzuki Swift VDI, 2015, Diesel","UTTAM NAGAR, DELHI","2015 - 65,000 km","₹ 14,75,000"
173,"Toyota Fortuner 3.0 4x2 Automatic, 2014, Diesel","BAB FARID NAGAR, BATHINDA","2013 - 33,000 km","₹ 7,10,000"
174,Maruti Suzuki Swift 2018 Petrol 11400 Km Driven,"ROHINI SECTOR 10, DELHI","2017 - 65,000 km","₹ 1,40,000"
175,Honda Civic 2006 CNG &amp; Hybrids,"JNTU, HYDERABAD","2016 - 50,000 km","₹ 9,75,000"
176,"Mercedes-Benz E-Class 220 CDI, 2012, Diesel","KARAMPURA, DELHI","2014 - 27,984 km","₹ 8,40,000"
177,"Mahindra Scorpio S2, 2015, Diesel","BEGUM BAZAR, HYDERABAD","2010 - 100,000 km","₹ 5,50,000"
178,Chevrolet Cruze 2016 Diesel Well Maintained,"USHMA NAGAR, MUMBAI","2014 - 91,000 km","₹ 5,50,000"
179,Maruti Suzuki Swift Dzire 2015 Diesel Well Maintained,"ADAJAN PATIA, SURAT","2002 - 50,000 km","₹ 2,50,000"
180,New brand all good condition,"SIPARA, PATNA","2012 - 65,000 km","₹ 29,50,000"
181,"Audi A6 35 TDI MATRIX EDITION, 2017, Diesel","CIVIL LINE COLONY, CHANDRAPUR","2003 - 100,000 km","₹ 5,60,000"
182,"Maruti Suzuki Swift VXI, 2016, Petrol","TULSI NAGAR, BAREILLY","2017 - 39,000 km","₹ 28,50,000"
183,Mercedes-Benz E-Class 250,"MAHARASHTRA CHOWK, ALANDI","2007 - 100,000 km","₹ 1,70,000"
184,Full option Maruti Zen Estilo,"ADAJAN PATIA, SURAT","2018 - 44,000 km","₹ 2,20,000"
185,K10 cng 1st owner,"BALKAMPET, HYDERABAD","2016 - 61,509 km","₹ 45,000"
186,2002 december full condition,"MERUANGADE, MANJERI","2016 - 34,000 km","₹ 2,55,000"
187,"Hyundai i10 2007-2010 Magna 1.2, 2012, CNG &amp; Hybrids","ADOOR, KERALA","2012 - 54,000 km","₹ 1,20,000"
188,"Maruti Suzuki Zen D, 2003, Diesel","SOHNA ROAD, GURGAON","2012 - 69,000 km","₹ 11,70,000"
189,"Hyundai Creta 1.6 CRDi AT SX Plus, 2017, Diesel","KAINATTY, KALPETTA",3 Bds - 2 Ba - 720 ft2,"₹ 80,000"
190,Maruti Suzuki Alto 2007,"RAMESH NAGAR, DELHI","2013 - 81,000 km","₹ 8,25,000"
191,"Tata Nexon 1.5 Revotorq XZ, 2018, Diesel","ALVENIA CONVENT, COIMBATORE","2013 - 50,000 km","₹ 4,90,000"
192,Hundai Grand i10 Asta Auto 1.2 (O),"VIKASPURI, DELHI","2013 - 55,000 km","₹ 5,25,000"
193,Hyundai i20 2016 Petrol 34000 Km Driven,"LOHIA NAGAR, MEERUT","2017 - 45,000 km","₹ 2,65,000"
194,Hyundai i20 2012 CNG &amp;amp; Hybrids,"SATYASAI ROAD, INDORE","2013 - 45,000 km","₹ 3,70,000"
195,"Hyundai i10 Asta Sunroof AT, 2012, Petrol","GUDIMALKA PUR, HYDERABAD","2016 - 53,000 km","₹ 35,00,000"
196,3 Bhk Flat With Car Parking 35 Lakhs,"PREET VIHAR, DELHI",2020 - 500 km,"₹ 10,00,000"
197,"Volkswagen Passat 2010-2014 Diesel Comfortline 2.0 TDI, 2013, Diesel","PANDARA ROAD FLATS, DELHI","2018 - 47,000 km","₹ 2,60,000"
198,"Maruti Suzuki A-Star Vxi, 2013, Petrol","MALAD WEST, MUMBAI","2005 - 221,000 km","₹ 4,10,000"
199,Mahindra Xylo 2013 Diesel Well Maintained,"UTTAM NAGAR, DELHI","2010 - 52,000 km","₹ 4,25,000"
200,Maruti Suzuki Wagon R 2017 Petrol 45000 Km Driven,"RAMNAGAR, COIMBATORE",2015 - 0 km,"₹ 2,40,000"
201,"Hyundai EON D-Lite +, 2013, Petrol","132 FEET RING ROAD, AHMEDABAD","2012 - 33,000 km","₹ 2,65,000"
202,"Maruti Suzuki Alto 800 CNG LXI, 2016, CNG &amp; Hybrids","DIWAN KA BAZAR, MORADABAD","2008 - 55,000 km","₹ 9,25,000"
203,"Maruti Suzuki Swift Dzire ZXI Plus , 2020, Petrol","KUMBALAM BRIDGE, KOCHI",2 Bds - 1 Ba - 450 ft2,"₹ 6,75,000"
204,"Ford Ecosport 1.5 Diesel Titanium, 2018, Diesel","GAJUWAKA, VISAKHAPATNAM","2013 - 158,000 km","₹ 1,00,000"
205,Tata Indica 2005 Diesel Well Maintained,"TAVAKKAL NAGAR, ANAND","2015 - 72,000 km","₹ 2,15,000"
206,"Maruti Suzuki Wagon R 2010-2012 VXI BS IV, 2010, Petrol","SOUTH EXTENSION, DELHI","2016 - 19,481 km","₹ 15,000"
207,கார் தேவை | Need a car,"JAWALAHERI, DELHI","2011 - 70,000 km","₹ 2,60,000"
208,Aone condition,"COOPERATIVE SOCIETY, AHMEDGARH","2010 - 120,000 km","₹ 1,30,000"
