,model,km,cost
181,"2011 Tata New Safari
DICOR 2.2 VX 4x2
62,000 kmsDiesel","62,000 kmsDiesel","₹ 3 Lakh
Gurgaon"
182,"2012 Toyota Innova
2.5 GX (Diesel) 7 Seater BS IV
70,000 kmsDiesel","70,000 kmsDiesel","₹ 6.5 Lakh
Ghaziabad"
183,"2016 Mahindra XUV500
W6 2WD
70,000 kmsDiesel","70,000 kmsDiesel","₹ 9 Lakh
EMI @ ₹ 18,223
Ghaziabad"
184,"2012 Hyundai i10
Era
45,000 kmsPetrol","45,000 kmsPetrol","₹ 2.35 Lakh
Ghaziabad"
185,"2012 Mercedes-Benz New C-Class
C 200 CGI Avantgarde
51,000 kmsPetrol","51,000 kmsPetrol","₹ 11.9 Lakh
New Delhi"
186,"2006 Honda Civic
1.8 V AT
80,000 kmsPetrol","80,000 kmsPetrol","₹ 1.11 Lakh
Gurgaon"
187,"2013 Toyota Fortuner
4X2 AT
1,19,000 kmsPetrol","1,19,000 kmsPetrol","₹ 12.31 Lakh
New Delhi"
188,"2014 Maruti Alto 800
VXI
54,000 kmsPetrol","54,000 kmsPetrol","₹ 2.35 Lakh
EMI @ ₹ 4,758
Ghaziabad"
189,"2014 Hyundai Xcent
1.2 Kappa S Option
40,000 kmsPetrol","40,000 kmsPetrol","₹ 3.75 Lakh
EMI @ ₹ 7,593
Faridabad"
190,"2017 Mahindra Scorpio
S6 Plus 7 Seater
72,000 kmsDiesel","72,000 kmsDiesel","₹ 10 Lakh
EMI @ ₹ 20,248
Ghaziabad"
191,"2017 Maruti Eeco
5 Seater AC BSIV
15,000 kmsPetrol","15,000 kmsPetrol","₹ 3.4 Lakh
EMI @ ₹ 6,884
Ghaziabad"
192,"2010 Honda Accord
3.5 V6
66,000 kmsPetrol","66,000 kmsPetrol","₹ 4 Lakh
Gurgaon"
193,"2016 Maruti Alto 800
LXI
60,000 kmsPetrol","60,000 kmsPetrol","₹ 2.35 Lakh
EMI @ ₹ 4,758
Gurgaon"
194,"2019 Datsun RediGO
T
7,510 kmsPetrol","7,510 kmsPetrol","₹ 3.35 Lakh
EMI @ ₹ 5,973
Faridabad"
195,"2019 Mahindra Marazzo
M6
14,000 kmsDiesel","14,000 kmsDiesel","₹ 11.25 Lakh
EMI @ ₹ 20,059
New Delhi"
196,"2012 Ford Figo
Diesel LXI
1,20,000 kmsDiesel","1,20,000 kmsDiesel","₹ 1.45 Lakh
Gurgaon"
197,"2010 Mercedes-Benz E-Class
E250 CDI Blue Efficiency
70,599 kmsDiesel","70,599 kmsDiesel","₹ 8.25 Lakh
Gurgaon"
198,"2018 Mahindra KUV 100
D75 K4 Plus
80,000 kmsDiesel","80,000 kmsDiesel","₹ 4 Lakh
EMI @ ₹ 8,099
Ghaziabad"
199,"2011 Toyota Innova
2.5 V Diesel 7-seater
50,680 kmsDiesel","50,680 kmsDiesel","₹ 5.5 Lakh
Gurgaon"
200,"2015 Maruti Ciaz
VXi Plus
50,000 kmsPetrol","50,000 kmsPetrol","₹ 5.49 Lakh
EMI @ ₹ 11,116
New Delhi"
201,"2006 Toyota Corolla
H1
50,000 kmsPetrol","50,000 kmsPetrol","₹ 1.25 Lakh
Gurgaon"
202,"2013 Maruti Swift
VDI
1,20,000 kmsDiesel","1,20,000 kmsDiesel","₹ 3.75 Lakh
Noida"
203,"2016 Maruti SX4 S Cross
DDiS 320 Delta
72,000 kmsDiesel","72,000 kmsDiesel","₹ 5.75 Lakh
EMI @ ₹ 11,643
New Delhi"
204,"2019 Maruti Alto 800
LXI Optional
32,000 kmsPetrol","32,000 kmsPetrol","₹ 3.15 Lakh
EMI @ ₹ 5,616
Faridabad"
205,"2013 Nissan Sunny
Diesel XL
40,000 kmsDiesel","40,000 kmsDiesel","₹ 3.75 Lakh
Faridabad"
206,"2011 Honda City
1.5 V MT
90,000 kmsPetrol","90,000 kmsPetrol","₹ 3 Lakh
New Delhi"
207,"2013 Ford Figo
Diesel Celebration Edition
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 1.8 Lakh
New Delhi"
208,"2009 Mahindra Renault Logan
1.4 GLX Petrol
1,20,000 kmsPetrol","1,20,000 kmsPetrol","₹ 1.45 Lakh
New Delhi"
209,"2017 Maruti Swift Dzire
AMT VDI
42,221 kmsDiesel","42,221 kmsDiesel","₹ 6.5 Lakh
EMI @ ₹ 13,161
Faridabad"
210,"2014 Maruti Swift Dzire
LDIX Limited Edition
1,60,000 kmsDiesel","1,60,000 kmsDiesel","₹ 3.5 Lakh
EMI @ ₹ 7,087
New Delhi"
211,"2020 Renault KWID
1.0 RXT Opt BSIV
10,000 kmsPetrol","10,000 kmsPetrol","₹ 4 Lakh
EMI @ ₹ 6,452
Noida"
212,"2018 Land Rover Discovery Sport
TD4 HSE 7S
47,000 kmsDiesel","47,000 kmsDiesel","₹ 39.7 Lakh
EMI @ ₹ 80,385
New Delhi"
213,"2014 BMW 5 Series
520d Modern Line
25,000 kmsDiesel","25,000 kmsDiesel","₹ 26 Lakh
EMI @ ₹ 52,645
Faridabad"
214,"2018 Maruti Vitara Brezza
ZDi Plus
56,000 kmsDiesel","56,000 kmsDiesel","₹ 8 Lakh
EMI @ ₹ 16,199
New Delhi"
215,"2012 Toyota Innova
2.5 VX 7 STR BSIV
60,000 kmsDiesel","60,000 kmsDiesel","₹ 7.25 Lakh
Noida"
216,"2012 Hyundai i10
Magna
70,000 kmsPetrol","70,000 kmsPetrol","₹ 3.1 Lakh
New Delhi"
217,"2011 Hyundai i10
Magna
62,940 kmsPetrol","62,940 kmsPetrol","₹ 2.35 Lakh
Noida"
218,"2012 Maruti Wagon R
LXI BSII
70,000 kmsPetrol","70,000 kmsPetrol","₹ 2 Lakh
Faridabad"
219,"2011 Maruti Wagon R
LXI BS IV
70,000 kmsPetrol","70,000 kmsPetrol","₹ 1.9 Lakh
New Delhi"
220,"2011 Hyundai i10
Asta
71,000 kmsPetrol","71,000 kmsPetrol","₹ 2.65 Lakh
New Delhi"
221,"2015 Mahindra Scorpio
S6 Plus 7 Seater
45,000 kmsDiesel","45,000 kmsDiesel","₹ 7.9 Lakh
EMI @ ₹ 15,996
Faridabad"
222,"2012 Maruti Alto 800
LXI
60,000 kmsPetrol","60,000 kmsPetrol","₹ 1.65 Lakh
Greater Noida"
223,"2012 Volkswagen Polo
Petrol Highline 1.2L
47,000 kmsPetrol","47,000 kmsPetrol","₹ 3 Lakh
Gurgaon"
224,"2012 Maruti Ritz
VXi
40,000 kmsPetrol","40,000 kmsPetrol","₹ 3 Lakh
New Delhi"
225,"2009 Maruti Wagon R
LXI Minor
15,000 kmsPetrol","15,000 kmsPetrol","₹ 2 Lakh
New Delhi"
226,"2012 Mahindra Quanto
C4
80,000 kmsDiesel","80,000 kmsDiesel","₹ 2.5 Lakh
Gurgaon"
227,"2017 Skoda Rapid
1.6 MPI Style BSIV
86,000 kmsPetrol","86,000 kmsPetrol","₹ 5.75 Lakh
EMI @ ₹ 11,643
Noida"
228,"2013 Honda Brio
S MT
44,000 kmsPetrol","44,000 kmsPetrol","₹ 2.85 Lakh
Ghaziabad"
229,"2013 Mercedes-Benz E-Class
220 CDI
72,000 kmsDiesel","72,000 kmsDiesel","₹ 11.9 Lakh
New Delhi"
230,"2018 Honda City
i-VTEC CVT VX
1,20,000 kmsPetrol","1,20,000 kmsPetrol","₹ 8.5 Lakh
EMI @ ₹ 17,211
Gurgaon"
231,"2015 Maruti Swift Dzire
VDI
50,000 kmsDiesel","50,000 kmsDiesel","₹ 4.5 Lakh
EMI @ ₹ 9,112
Faridabad"
232,"2017 Maruti Eeco
CNG 5 Seater AC BSIV
71,000 kmsCNG","71,000 kmsCNG","₹ 3.16 Lakh
EMI @ ₹ 6,409
Faridabad"
233,"2017 Maruti Baleno
Zeta
35,002 kmsPetrol","35,002 kmsPetrol","₹ 6 Lakh
EMI @ ₹ 12,149
New Delhi"
234,"2014 Mahindra Quanto
C8
1,86,000 kmsDiesel","1,86,000 kmsDiesel","₹ 3 Lakh
EMI @ ₹ 6,074
Gurgaon"
235,"2012 Toyota Fortuner
4x2 4 Speed AT
75,000 kmsDiesel","75,000 kmsDiesel","₹ 10.5 Lakh
Gurgaon"
236,"2012 Maruti Swift
LDI
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 3 Lakh
New Delhi"
237,"2020 Audi S5
3.0 TFSIq Tiptronic
1,001 kmsPetrol","1,001 kmsPetrol","₹ 77.5 Lakh
EMI @ ₹ 1.25 Lakh
Gurgaon"
238,"2013 Hyundai Verna
1.6 SX
1,00,000 kmsDiesel","1,00,000 kmsDiesel","₹ 4.25 Lakh
New Delhi"
239,"2015 Honda Amaze
VX i-DTEC
70,000 kmsDiesel","70,000 kmsDiesel","₹ 4.8 Lakh
EMI @ ₹ 9,719
Ghaziabad"
240,"2019 MG Hector
Sharp Diesel MT BSIV
16,800 kmsDiesel","16,800 kmsDiesel","₹ 17.5 Lakh
EMI @ ₹ 31,203
New Delhi"
241,"2020 Maruti XL6
Alpha
18,000 kmsPetrol","18,000 kmsPetrol","₹ 10.5 Lakh
EMI @ ₹ 16,936
Gurgaon"
242,"2013 Nissan Sunny
XL AT Special Edition
28,000 kmsPetrol","28,000 kmsPetrol","₹ 3.45 Lakh
New Delhi"
243,"2010 Skoda Superb
1.8 TSI MT
60,000 kmsPetrol","60,000 kmsPetrol","₹ 2.95 Lakh
New Delhi"
244,"2011 Hyundai i10
Sportz
52,000 kmsPetrol","52,000 kmsPetrol","₹ 2.35 Lakh
Faridabad"
245,"2017 Isuzu MU-X
2WD
35,000 kmsDiesel","35,000 kmsDiesel","₹ 17.75 Lakh
EMI @ ₹ 35,941
Noida"
246,"2008 Maruti Wagon R
LXI
77,000 kmsPetrol","77,000 kmsPetrol","₹ 99,000
Ghaziabad"
247,"2014 Honda CR-V
2.4L 4WD AT AVN
93,000 kmsPetrol","93,000 kmsPetrol","₹ 9.45 Lakh
EMI @ ₹ 19,135
New Delhi"
248,"2018 Hyundai Verna
CRDi 1.6 EX
58,000 kmsDiesel","58,000 kmsDiesel","₹ 8.49 Lakh
EMI @ ₹ 17,191
Faridabad"
249,"2009 Maruti Swift Dzire
VXI
43,000 kmsPetrol","43,000 kmsPetrol","₹ 2.15 Lakh
New Delhi"
250,"2012 Maruti SX4
ZDI Leather
78,000 kmsDiesel","78,000 kmsDiesel","₹ 2.9 Lakh
Gurgaon"
251,"2017 Ford Ecosport
1.5 Petrol Ambiente
52,000 kmsPetrol","52,000 kmsPetrol","₹ 6.49 Lakh
EMI @ ₹ 13,141
Ghaziabad"
252,"2010 Hyundai i10
Magna
90,000 kmsPetrol","90,000 kmsPetrol","₹ 1.3 Lakh
New Delhi"
253,"2013 Hyundai Santro Xing
GL Plus
80,000 kmsPetrol","80,000 kmsPetrol","₹ 2.2 Lakh
New Delhi"
254,"2008 Honda Civic
1.8 (E) MT
60,000 kmsPetrol","60,000 kmsPetrol","₹ 1.7 Lakh
Ghaziabad"
255,"2014 Honda Brio
VX
43,000 kmsPetrol","43,000 kmsPetrol","₹ 3.45 Lakh
EMI @ ₹ 6,986
Noida"
256,"2011 Chevrolet Beat
LT
30,000 kmsPetrol","30,000 kmsPetrol","₹ 2.3 Lakh
Faridabad"
257,"2019 Tata Nexon
1.2 Revotron XZ Plus
13,000 kmsPetrol","13,000 kmsPetrol","₹ 8.75 Lakh
EMI @ ₹ 15,601
Ghaziabad"
258,"2012 Nissan Sunny
XV
79,000 kmsPetrol","79,000 kmsPetrol","₹ 2.7 Lakh
Gurgaon"
259,"2012 Volkswagen Polo
Petrol Highline 1.2L
55,000 kmsPetrol","55,000 kmsPetrol","₹ 3.15 Lakh
New Delhi"
260,"2017 Hyundai Grand i10
1.2 CRDi Magna
60,000 kmsDiesel","60,000 kmsDiesel","₹ 3.9 Lakh
EMI @ ₹ 7,897
Ghaziabad"
261,"2017 Maruti Alto 800
VXI
32,000 kmsPetrol","32,000 kmsPetrol","₹ 2.6 Lakh
EMI @ ₹ 5,265
Faridabad"
262,"2018 BMW 5 Series
530i Sport Line
14,000 kmsPetrol","14,000 kmsPetrol","₹ 44.5 Lakh
EMI @ ₹ 90,104
Gurgaon"
263,"2013 Mini Cooper
S
60,000 kmsPetrol","60,000 kmsPetrol","₹ 15.25 Lakh
New Delhi"
264,"2012 Skoda Rapid
1.6 MPI Ambition
10,000 kmsPetrol","10,000 kmsPetrol","₹ 3.25 Lakh
New Delhi"
265,"2015 Honda City
i VTEC CVT SV
70,000 kmsPetrol","70,000 kmsPetrol","₹ 6.75 Lakh
EMI @ ₹ 13,668
New Delhi"
266,"2019 Maruti Alto K10
VXI
15,590 kmsPetrol","15,590 kmsPetrol","₹ 3.65 Lakh
Fixed Price
EMI @ ₹ 6,508"
267,"2017 Hyundai Grand i10
1.2 Kappa Magna BSIV
17,612 kmsPetrol","17,612 kmsPetrol","₹ 4.62 Lakh
Fixed Price
EMI @ ₹ 9,365"
268,"2015 Jaguar XJ
3.0L Portfolio LWB
58,000 kmsDiesel","58,000 kmsDiesel","₹ 38 Lakh
EMI @ ₹ 76,943
Gurgaon"
269,"2014 Toyota Fortuner
4x2 Manual
80,000 kmsDiesel","80,000 kmsDiesel","₹ 13.5 Lakh
EMI @ ₹ 27,335
Noida"
270,"2013 BMW X3
xDrive20d
67,000 kmsDiesel","67,000 kmsDiesel","₹ 25 Lakh
Gurgaon"
271,"2013 Volkswagen Vento
1.6 Trendline
47,497 kmsPetrol","47,497 kmsPetrol","₹ 3.95 Lakh
Gurgaon"
272,"2015 Toyota Fortuner
4x2 AT
80,000 kmsDiesel","80,000 kmsDiesel","₹ 18 Lakh
EMI @ ₹ 36,447
New Delhi"
273,"2010 Maruti Wagon R
LX Minor
80,000 kmsPetrol","80,000 kmsPetrol","₹ 1.45 Lakh
Gurgaon"
274,"2021 Maruti Baleno
Zeta
2,500 kmsPetrol","2,500 kmsPetrol","₹ 7.25 Lakh
EMI @ ₹ 10,785
New Delhi"
275,"2020 Maruti Swift Dzire Tour
1.2 S STD CNG
60,000 kmsCNG","60,000 kmsCNG","₹ 5.8 Lakh
EMI @ ₹ 9,355
Noida"
276,"2013 Honda Brio
EX MT
44,500 kmsPetrol","44,500 kmsPetrol","₹ 3.25 Lakh
New Delhi"
277,"2009 Honda City
1.5 S MT
88,000 kmsPetrol","88,000 kmsPetrol","₹ 2.44 Lakh
New Delhi"
278,"2014 Maruti Swift
VDI BSIV
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 3.98 Lakh
EMI @ ₹ 8,059
New Delhi"
279,"2014 Maruti Swift Dzire
LDI
60,480 kmsDiesel","60,480 kmsDiesel","₹ 3.75 Lakh
EMI @ ₹ 7,593
New Delhi"
280,"2011 Maruti Swift Dzire
1.2 Vxi BSIV
1,00,000 kmsPetrol","1,00,000 kmsPetrol","₹ 2.45 Lakh
New Delhi"
281,"2016 Maruti Ertiga
SHVS VDI
71,500 kmsDiesel","71,500 kmsDiesel","₹ 7 Lakh
EMI @ ₹ 14,174
New Delhi"
282,"2018 Renault Captur
1.5 Diesel Platine
40,000 kmsDiesel","40,000 kmsDiesel","₹ 10 Lakh
EMI @ ₹ 20,248
Noida"
283,"2012 Mahindra XUV500
W8 FWD
86,000 kmsDiesel","86,000 kmsDiesel","₹ 5 Lakh
Ghaziabad"
284,"2010 Mercedes-Benz S-Class
S 350 L
50,000 kmsPetrol","50,000 kmsPetrol","₹ 32 Lakh
Gurgaon"
285,"2017 Mahindra Scorpio
1.99 S4 Plus
60,000 kmsDiesel","60,000 kmsDiesel","₹ 8.5 Lakh
EMI @ ₹ 17,211
Noida"
286,"2014 Honda Amaze
S i-Vtech
37,500 kmsPetrol","37,500 kmsPetrol","₹ 4 Lakh
EMI @ ₹ 8,099
New Delhi"
287,"2010 Hyundai Santro Xing
GLS CNG
83,000 kmsCNG","83,000 kmsCNG","₹ 1.4 Lakh
New Delhi"
288,"2010 Maruti Alto
LXi BSIII
70,000 kmsPetrol","70,000 kmsPetrol","₹ 1.45 Lakh
New Delhi"
289,"2014 Skoda Rapid
1.5 TDI Ambition With Alloy Wheel
80,000 kmsDiesel","80,000 kmsDiesel","₹ 3.2 Lakh
EMI @ ₹ 6,479
New Delhi"
290,"2014 Renault Duster
110PS Diesel RXZ Option
70,000 kmsDiesel","70,000 kmsDiesel","₹ 4.25 Lakh
EMI @ ₹ 8,605
Gurgaon"
291,"2015 Nissan Sunny
XL
44,810 kmsPetrol","44,810 kmsPetrol","₹ 4.98 Lakh
EMI @ ₹ 10,084
Gurgaon"
292,"2012 Volkswagen Polo
Diesel Trendline 1.2L
90,000 kmsDiesel","90,000 kmsDiesel","₹ 2.2 Lakh
Faridabad"
293,"2015 Ford Figo
1.2P Ambiente MT
50,000 kmsPetrol","50,000 kmsPetrol","₹ 4.15 Lakh
EMI @ ₹ 8,403
New Delhi"
294,"2011 Maruti Alto K10
LXI
81,699 kmsPetrol","81,699 kmsPetrol","₹ 1.65 Lakh
Noida"
295,"2015 Audi A6
2.0 TDI
70,000 kmsDiesel","70,000 kmsDiesel","₹ 20 Lakh
EMI @ ₹ 40,496
New Delhi"
296,"2015 Toyota Corolla Altis
G MT
30,000 kmsPetrol","30,000 kmsPetrol","₹ 11 Lakh
EMI @ ₹ 22,273
New Delhi"
297,"2019 Maruti Baleno
Zeta CVT
35,000 kmsPetrol","35,000 kmsPetrol","₹ 8.15 Lakh
EMI @ ₹ 14,532
New Delhi"
298,"2015 Volkswagen Vento
1.5 TDI Highline AT
1,31,000 kmsDiesel","1,31,000 kmsDiesel","₹ 6 Lakh
EMI @ ₹ 12,149
New Delhi"
299,"2018 Mahindra KUV 100
G80 K6 Plus
20,000 kmsPetrol","20,000 kmsPetrol","₹ 4.15 Lakh
EMI @ ₹ 8,403
New Delhi"
300,"2007 Toyota Camry
A/T
1,10,000 kmsPetrol","1,10,000 kmsPetrol","₹ 3.25 Lakh
New Delhi"
301,"2014 Mahindra XUV500
W6 2WD
72,000 kmsDiesel","72,000 kmsDiesel","₹ 7 Lakh
EMI @ ₹ 14,174
New Delhi"
302,"2019 Maruti Baleno
Sigma Diesel
40,000 kmsDiesel","40,000 kmsDiesel","₹ 5.57 Lakh
EMI @ ₹ 9,931
Faridabad"
303,"2011 Hyundai Santro Xing
GLS
1,00,000 kmsPetrol","1,00,000 kmsPetrol","₹ 1.45 Lakh
New Delhi"
304,"2017 Honda City
i VTEC S
65,234 kmsPetrol","65,234 kmsPetrol","₹ 7.75 Lakh
EMI @ ₹ 15,692
Ghaziabad"
305,"2017 Renault KWID
1.0 RXT Optional
28,500 kmsPetrol","28,500 kmsPetrol","₹ 2.5 Lakh
EMI @ ₹ 5,062
Noida"
306,"2008 Skoda Fabia
1.4 MPI Ambiente
80,000 kmsPetrol","80,000 kmsPetrol","₹ 1.25 Lakh
Noida"
307,"2011 Toyota Etios
GD
2,00,000 kmsDiesel","2,00,000 kmsDiesel","₹ 2.21 Lakh
Gurgaon"
308,"2006 Hyundai Santro Xing
XL eRLX Euro II
91,000 kmsPetrol","91,000 kmsPetrol","₹ 85,000
Ghaziabad"
309,"2011 Honda City
E
45,000 kmsPetrol","45,000 kmsPetrol","₹ 4.15 Lakh
New Delhi"
310,"2013 Honda Brio
S MT
7,103 kmsPetrol","7,103 kmsPetrol","₹ 3.1 Lakh
New Delhi"
311,"2016 Maruti Ciaz
VDI SHVS
50,000 kmsDiesel","50,000 kmsDiesel","₹ 6 Lakh
EMI @ ₹ 12,149
Ghaziabad"
312,"2016 Honda City
i VTEC SV
40,000 kmsPetrol","40,000 kmsPetrol","₹ 7.1 Lakh
EMI @ ₹ 14,376
New Delhi"
313,"2017 Maruti Wagon R
VXI BS IV
35,000 kmsPetrol","35,000 kmsPetrol","₹ 3.75 Lakh
EMI @ ₹ 7,593
Gurgaon"
314,"2016 Hyundai Creta
1.4 CRDi S
55,000 kmsDiesel","55,000 kmsDiesel","₹ 8.1 Lakh
EMI @ ₹ 16,401
New Delhi"
315,"2018 Toyota Innova Crysta
2.4 VX MT BSIV
49,500 kmsDiesel","49,500 kmsDiesel","₹ 17.2 Lakh
EMI @ ₹ 34,827
Gurgaon"
316,"2016 Maruti Ciaz
Alpha AT
21,000 kmsPetrol","21,000 kmsPetrol","₹ 7.6 Lakh
EMI @ ₹ 15,389
New Delhi"
317,"2019 Toyota Innova Crysta
2.8 GX AT BSIV
70,000 kmsDiesel","70,000 kmsDiesel","₹ 17.25 Lakh
EMI @ ₹ 30,757
Ghaziabad"
318,"2018 Hyundai Grand i10
1.2 Kappa Magna BSIV
35,000 kmsPetrol","35,000 kmsPetrol","₹ 4.5 Lakh
EMI @ ₹ 9,112
Gurgaon"
319,"2010 Mercedes-Benz New C-Class
200 Kompressor
75,155 kmsPetrol","75,155 kmsPetrol","₹ 5.9 Lakh
New Delhi"
320,"2017 Ford Ecosport
1.5 TDCi Titanium BSIV
70,000 kmsDiesel","70,000 kmsDiesel","₹ 7.5 Lakh
EMI @ ₹ 15,186
New Delhi"
321,"2013 Toyota Fortuner
4x2 4 Speed AT TRD Sportivo
1,76,000 kmsDiesel","1,76,000 kmsDiesel","₹ 12 Lakh
Noida"
322,"2016 Honda City
i VTEC V
79,000 kmsPetrol","79,000 kmsPetrol","₹ 6.9 Lakh
EMI @ ₹ 13,971
New Delhi"
323,"2015 Hyundai i20
Asta 1.4 CRDi
69,000 kmsDiesel","69,000 kmsDiesel","₹ 5.75 Lakh
EMI @ ₹ 11,643
New Delhi"
324,"2019 Maruti Baleno
1.2 Zeta
40,000 kmsPetrol","40,000 kmsPetrol","₹ 6.2 Lakh
EMI @ ₹ 11,055
Gurgaon"
325,"2016 Maruti Wagon R Stingray
LXI
20,000 kmsPetrol","20,000 kmsPetrol","₹ 3 Lakh
EMI @ ₹ 6,074
Faridabad"
326,"2016 Honda Amaze
EX i-Vtech
50,000 kmsPetrol","50,000 kmsPetrol","₹ 3.75 Lakh
EMI @ ₹ 7,593
New Delhi"
327,"2016 Maruti Ciaz
ZDi SHVS
80,000 kmsDiesel","80,000 kmsDiesel","₹ 5.7 Lakh
EMI @ ₹ 11,541
Ghaziabad"
328,"2014 Honda Amaze
S i-Dtech
47,200 kmsDiesel","47,200 kmsDiesel","₹ 3.3 Lakh
EMI @ ₹ 6,682
New Delhi"
329,"2011 Ford Figo
Petrol ZXI
58,222 kmsPetrol","58,222 kmsPetrol","₹ 1.5 Lakh
New Delhi"
330,"2011 Mahindra Bolero
SLE
1,56,000 kmsDiesel","1,56,000 kmsDiesel","₹ 4 Lakh
Noida"
331,"2015 Maruti Swift Dzire
VDI Optional
57,325 kmsDiesel","57,325 kmsDiesel","₹ 4.25 Lakh
EMI @ ₹ 8,605
New Delhi"
332,"2011 Volkswagen Vento
Petrol Trendline
78,000 kmsPetrol","78,000 kmsPetrol","₹ 3 Lakh
Faridabad"
333,"2014 Hyundai Grand i10
CRDi Sportz
65,000 kmsDiesel","65,000 kmsDiesel","₹ 3.5 Lakh
EMI @ ₹ 7,087
New Delhi"
334,"2012 Mahindra Bolero
SLX
90,000 kmsDiesel","90,000 kmsDiesel","₹ 4 Lakh
Gurgaon"
335,"2016 Maruti Vitara Brezza
ZDi
49,000 kmsDiesel","49,000 kmsDiesel","₹ 6.9 Lakh
EMI @ ₹ 13,971
New Delhi"
336,"2011 Skoda Superb
1.8 TSI MT
67,824 kmsPetrol","67,824 kmsPetrol","₹ 4.9 Lakh
New Delhi"
337,"2012 Audi Q5
2.0 TDI
75,000 kmsDiesel","75,000 kmsDiesel","₹ 10.5 Lakh
New Delhi"
338,"2016 Mercedes-Benz GL-Class
350 CDI Blue Efficiency
1,00,000 kmsDiesel","1,00,000 kmsDiesel","₹ 40 Lakh
EMI @ ₹ 80,993
New Delhi"
339,"2012 Hyundai Verna
1.6 SX
1,39,500 kmsDiesel","1,39,500 kmsDiesel","₹ 3.1 Lakh
New Delhi"
340,"2012 Hyundai i10
Era 1.1 iTech SE
80,000 kmsPetrol","80,000 kmsPetrol","₹ 2.45 Lakh
New Delhi"
341,"2017 Audi A3
35 TDI Premium Plus
20,000 kmsDiesel","20,000 kmsDiesel","₹ 22.5 Lakh
EMI @ ₹ 45,558
Faridabad"
342,"2017 Maruti Wagon R
VXI BS IV
20,000 kmsPetrol","20,000 kmsPetrol","₹ 3.5 Lakh
EMI @ ₹ 7,087
New Delhi"
343,"2018 Tata Hexa
XE
30,000 kmsDiesel","30,000 kmsDiesel","₹ 11.5 Lakh
EMI @ ₹ 23,285
Ghaziabad"
344,"2018 Toyota Fortuner
2.8 2WD AT BSIV
36,539 kmsDiesel","36,539 kmsDiesel","₹ 32 Lakh
EMI @ ₹ 64,794
New Delhi"
345,"2012 Maruti Ertiga
ZDI
80,000 kmsDiesel","80,000 kmsDiesel","₹ 5 Lakh
Ghaziabad"
346,"2018 Toyota Innova Crysta
2.7 VX MT BSIV
23,000 kmsPetrol","23,000 kmsPetrol","₹ 17.75 Lakh
EMI @ ₹ 35,941
New Delhi"
347,"2017 Hyundai i20
Asta 1.2
13,000 kmsPetrol","13,000 kmsPetrol","₹ 6.75 Lakh
EMI @ ₹ 13,668
New Delhi"
348,"2013 Hyundai Verna
SX CRDi AT
60,000 kmsDiesel","60,000 kmsDiesel","₹ 4.5 Lakh
New Delhi"
349,"2014 Renault Duster
85PS Diesel RxL
60,000 kmsDiesel","60,000 kmsDiesel","₹ 3.6 Lakh
EMI @ ₹ 7,289
New Delhi"
350,"2012 Maruti Ertiga
ZDI
60,000 kmsDiesel","60,000 kmsDiesel","₹ 4 Lakh
New Delhi"
351,"2011 Jaguar XF
3.0 Litre S Premium Luxury
63,000 kmsDiesel","63,000 kmsDiesel","₹ 12 Lakh
Noida"
352,"2011 Maruti Ritz
LXI
61,000 kmsPetrol","61,000 kmsPetrol","₹ 2.5 Lakh
Faridabad"
353,"2013 Skoda Rapid
1.6 TDI Active
60,000 kmsDiesel","60,000 kmsDiesel","₹ 3.5 Lakh
New Delhi"
354,"2015 Maruti Swift Dzire
VDI Optional
1,10,000 kmsDiesel","1,10,000 kmsDiesel","₹ 6 Lakh
EMI @ ₹ 12,149
Gurgaon"
355,"2011 Tata New Safari
DICOR 2.2 LX 4x2 BS IV
54,900 kmsDiesel","54,900 kmsDiesel","₹ 5 Lakh
Noida"
356,"2019 Ford Ecosport
1.5 Petrol Titanium Plus AT BSIV
19,000 kmsPetrol","19,000 kmsPetrol","₹ 9.9 Lakh
EMI @ ₹ 17,652
New Delhi"
357,"2007 Hyundai Santro Xing
XL
90,000 kmsPetrol","90,000 kmsPetrol","₹ 75,000
Gurgaon"
358,"2018 Mahindra Marazzo
M6 Plus
25,000 kmsDiesel","25,000 kmsDiesel","₹ 9.9 Lakh
EMI @ ₹ 20,046
Gurgaon"
359,"2017 Honda Brio
1.2 VX AT
36,000 kmsPetrol","36,000 kmsPetrol","₹ 5.45 Lakh
EMI @ ₹ 11,035
New Delhi"
360,"2014 Renault Duster
85PS Diesel RxL
58,000 kmsDiesel","58,000 kmsDiesel","₹ 4.35 Lakh
EMI @ ₹ 8,808
New Delhi"
361,"2017 Ford Ecosport
1.5 Diesel Titanium Plus
80,000 kmsDiesel","80,000 kmsDiesel","₹ 7 Lakh
EMI @ ₹ 14,174
Faridabad"
362,"2017 Maruti Vitara Brezza
ZDi Plus
36,990 kmsDiesel","36,990 kmsDiesel","₹ 7.8 Lakh
EMI @ ₹ 15,794
Gurgaon"
363,"2013 Toyota Innova
2.5 G (Diesel) 7 Seater BS IV
2,39,252 kmsDiesel","2,39,252 kmsDiesel","₹ 6 Lakh
New Delhi"
364,"2011 Audi A6
3.0 TDI quattro
86,000 kmsDiesel","86,000 kmsDiesel","₹ 11 Lakh
New Delhi"
